,Nom,Famille,Type,ID équipement,Référence constructeur,Date d'installation,Notes,Secteur,Bâtiment,Adresse,Niveau,Salle,Cage d'escalier,Opérationnel/HS,Validation
1544,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 421,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+16,Parties communes palier ascenseur,,Opérationnel,Validé
1512,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 405,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",rdc,Pc sécurité,,Opérationnel,Validé
1546,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 413,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+8,Parties communes palier ascenseur,,Opérationnel,Validé
1545,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 422,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+17,Parties communes palier ascenseur,,Opérationnel,Validé
1510,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 424,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+19,Parties communes palier ascenseur,,Opérationnel,Validé
1538,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 412,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+7,Parties communes palier ascenseur,,Opérationnel,Validé
1537,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 408,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+3,Parties communes palier ascenseur,,Opérationnel,Validé
1536,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 420,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+15,Parties communes palier ascenseur,,Opérationnel,Validé
1539,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 410,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+5,Parties communes palier ascenseur,,Opérationnel,Validé
1530,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 425,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+20,Parties communes palier ascenseur,,Opérationnel,Validé
1529,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 417,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+12,Parties communes palier ascenseur,,Opérationnel,Validé
