,Nom,Famille,Type,ID équipement,Référence constructeur,Date d'installation,Notes,Secteur,Bâtiment,Adresse,Niveau,Salle,Cage d'escalier,Opérationnel/HS,Validation
65,C1-21-3 (2P),,CLIMATISATION DETENTE DIRECTE,Columbia 204,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",21,,,Opérationnel,Validé
1979,C1-21-3 (2P),,WC TOTO,Columbia 203,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",21,,,Opérationnel,Validé
98,C1-21-4 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 052,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",21,,,Opérationnel,Validé
2000,C1-21-4 (3P),,WC TOTO,Columbia 053,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",21,,,Opérationnel,Validé
1961,C1-25-1 (3P),,WC TOTO,Columbia 070,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",27,,,Opérationnel,Validé
334,C1-25-1 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 058,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",25,,,Opérationnel,Validé
1964,C1-26-3 (2P),,WC TOTO,Columbia 064,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",26,,,Opérationnel,Validé
609,C1-26-3 (2P),,CLIMATISATION DETENTE DIRECTE,Columbia 063,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",26,,,Opérationnel,Validé
1995,C1-27-1 (3P),,WC TOTO,Columbia 066,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",27,,,Opérationnel,Validé
309,C1-27-1 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 065,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",27,,,Opérationnel,Validé
1935,C1-27-3 (2P),,WC TOTO,Columbia 068,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",27,,,Opérationnel,Validé
228,C1-27-3 (2P),,CLIMATISATION DETENTE DIRECTE,Columbia 067,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",27,,,Opérationnel,Validé
1930,C1-28-2 (3P),,WC TOTO,Columbia 072,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",28,,,Opérationnel,Validé
359,C1-28-2 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 071,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",28,,,Opérationnel,Validé
136,C1-29-2 (4P),,CLIMATISATION DETENTE DIRECTE,Columbia 074,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
1976,C1-29-2 (4P),,WC TOTO,Columbia 075,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
1975,C1-29-4 (3P),,WC TOTO,Columbia 211,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
