Nom;Famille;Type;ID équipement;Référence constructeur;Date d'installation;Notes;Secteur;Bâtiment;Adresse;Niveau;Salle;Cage d'escalier;Opérationnel/HS;Validation
CALANDRE;;CALANDRE BUANDERIE;2F 120;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
DIVERS HEDERA;;DIVERS HEDERA;HEDERA_20;;;;HDCER;Bâtiment Les Horizons;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
PLIEUSE;;PLIEUSE BUANDERIE;2F 123;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;Buanderie;;Opérationnel;Validé
SECHOIR 2 HEBDOMADAIRE;;PLIEUSE BUANDERIE;2F 099;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;Buanderie;;Opérationnel;Validé
SAUNA HOMMES SQUASH NIV 1.00;;SAUNA;SLII 274;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 100;;;Opérationnel;Validé
SAUNA FEMMES SQUASH NIV 1.00;;SAUNA;SLII 271;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 100;;;Opérationnel;Validé
SAUNA FEMMES PISCINE NIV 4.80;;SAUNA;SLII 270;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 4.80;;;Opérationnel;Validé
SAUNA HOMMES PISCINE NIV 4.80;;SAUNA;SLII 273;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 4.80;;;Opérationnel;Validé
SAUNA HOMMES MUSCULATION NIV 4.80;;SAUNA;SLII 272;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 4.80;;;Opérationnel;Validé
SAUNA FEMMES MUSCULATION NIV 4.80;;SAUNA;SLII 269;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 4.80;;;Opérationnel;Validé
ADOUCISSEUR;;ADOUCISSEUR;PARAD ADELF 060;;;;CIP MPG;Bâtiment Le Belvédère;164 Impasse de la Paix, 13386 Marseille;PCBC;LT RDJ ;;Opérationnel;Validé
ADOUCISSEUR;;ADOUCISSEUR;PARAD ADELF 121;;;;CIP MPG;Bâtiment Le Belvédère;164 Impasse de la Paix, 13386 Marseille;LT EF;;;Opérationnel;Validé
ADOUCISSEUR EDR;;ADOUCISSEUR;EDR 0004;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Circulation cuisine;;Opérationnel;Validé
ADOUCISSEUR LT17 NIV 24;;ADOUCISSEUR;ESA 040;;;;SLII ESA;Bâtiment Les Acacias;177 Rue des Lilas, 35636 Dijon;NIV 24;LT17;;Opérationnel;Validé
ADOUCISSEUR LT17 NIV 4.80;;ADOUCISSEUR;SLII 002;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;;;;Opérationnel;Validé
ADOUCISSEUR LT6 NIV 1.00;;ADOUCISSEUR;SLII 001;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV100;LT6;;Opérationnel;Validé
ADOUCISSEUR LT11 NIV 17;;ADOUCISSEUR;ESA 041;;;;SLII ESA;Bâtiment Les Acacias;177 Rue des Lilas, 35636 Dijon;NIV 17;LT11;;Opérationnel;Validé
ADOUCISSEUR LT18 NIV 24;;ADOUCISSEUR;ESA 039;;;;SLII ESA;Bâtiment Les Acacias;177 Rue des Lilas, 35636 Dijon;NIV 24;LT18;;Opérationnel;Validé
DALLE ACTIVE PLANCHER CHAUFFANT RAFRAICHISSANT;;DALLE ACTIVE;Mona 023;;;;CIP MPG;Bâtiment Horizon;71 Avenue des Lilas, 57883 Marseille;;;;Opérationnel;Validé
MAINTIEN PRESSION 01;;MAINTIEN DE PRESSION;Mona 018;;;;CIP MPG;Bâtiment Horizon;71 Avenue des Lilas, 57883 Marseille;Entre sol;;;Opérationnel;Validé
SURPRESSEUR EXPANSION N°1 LT6 NIV 1.00;;MAINTIEN DE PRESSION;SLII 281;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 100;LT6;;Opérationnel;Validé
VASE EXPANSION;;MAINTIEN DE PRESSION;PARAD ADELF 080;;;;CIP MPG;Bâtiment Le Belvédère;164 Impasse de la Paix, 13386 Marseille;PCBC;RDC ;;Opérationnel;Validé
SURPRESSEUR EXPANSION N°2 LT6 NIV 1.00;;MAINTIEN DE PRESSION;SLII 282;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 100;LT6;;Opérationnel;Validé
VASE EXPENSION LT18 NIV 24;;MAINTIEN DE PRESSION;ESA 020;;;;SLII ESA;Bâtiment Les Acacias;177 Rue des Lilas, 35636 Dijon;NIV 24;LT18;;Opérationnel;Validé
CLIM CH 29 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 083;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH  281;;CLIMATISATION DETENTE DIRECTE;2F 025;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 30 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 082;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
B-2-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 200;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;2;;;Opérationnel;Validé
CLIM N°3 ESCALE;;CLIMATISATION DETENTE DIRECTE;ER 652;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM SPA SUITE RIVIERA;;CLIMATISATION DETENTE DIRECTE;DIVERS 052;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
B HALL CONCIERGE(1P);;CLIMATISATION DETENTE DIRECTE;Houston 027;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;rdc;;;Opérationnel;Validé
CLIM CH 322;;CLIMATISATION DETENTE DIRECTE;2F 050;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
C1-17-2 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 036;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;17;;;Opérationnel;Validé
clim 2 SALON DE COIFFURE;;CLIMATISATION DETENTE DIRECTE;EDR 0128;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Salon de coiffure;;Opérationnel;Validé
VRV GF3 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0074;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Jardin;;;Opérationnel;Validé
GROUPE CLIM VIENNOISERIE;;CLIMATISATION DETENTE DIRECTE;ER 454;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
C-04-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 048;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;4;;;Opérationnel;Validé
CLIM CH 18 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 047;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
C1-18-1 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 040;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;18;;;Opérationnel;Validé
C1-06-2 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 009;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;6;;;Opérationnel;Validé
C1-25-2 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 059;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;25;;;Opérationnel;Validé
CLIM BUREAU RESERVATION N°1;;CLIMATISATION DETENTE DIRECTE;HDC 555;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;Mezzanine;;;Opérationnel;Validé
CLIM CH 102;;CLIMATISATION DETENTE DIRECTE;2F 011;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C2-23-2 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 119;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;23;;;Opérationnel;Validé
CLIM SALLE DE REPOS PERSONNEL;;CLIMATISATION DETENTE DIRECTE;2F 330;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM 1 BUREAU RH P1;;CLIMATISATION DETENTE DIRECTE;2F 312;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM BUREAU en face ch 83 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 069;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM bureau assistante directeur HDC;;CLIMATISATION DETENTE DIRECTE;HDC 156;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
B-12-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 032;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;12;;;Opérationnel;Validé
CLIM CH 47-2HDC;;CLIMATISATION DETENTE DIRECTE;HDC 091;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C-07-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 053;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;7;;;Opérationnel;Validé
CLIM N°4 ESCALE;;CLIMATISATION DETENTE DIRECTE;ER 653;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
C2-06-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 206;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;6;;;Opérationnel;Validé
B-8-1 (4P);;CLIMATISATION DETENTE DIRECTE;Houston 033;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;8;;;Opérationnel;Validé
C2-22-1 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 115;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;22;;;Opérationnel;Validé
CLIM CH 324;;CLIMATISATION DETENTE DIRECTE;2F 052;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
A-6-1 (5P);;CLIMATISATION DETENTE DIRECTE;Houston 010;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;6;;;Opérationnel;Validé
CLIM STANDARD HDC;;CLIMATISATION DETENTE DIRECTE;HDC 035;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
VRV III GF 09 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 012;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM CH 74 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 114;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM PAYE 3 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 058;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;Galerie technique;;Opérationnel;Validé
CLIM CH 78 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 112;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM BUREAU RESERVATION N°2;;CLIMATISATION DETENTE DIRECTE;HDC 556;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;Mezzanine;;;Opérationnel;Validé
CLIM N°2 ESCALE;;CLIMATISATION DETENTE DIRECTE;ER 651;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM SALON ELEANA;;CLIMATISATION DETENTE DIRECTE;ELEANA 003;;;;HDCER;Bâtiment Concorde;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
C1-21-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 204;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;21;;;Opérationnel;Validé
VRV III GF 14 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 017;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
C1-19-1 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 044;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;19;;;Opérationnel;Validé
CLIM OFFICE ASCENSEUR ROOM SERVICE N+2;;CLIMATISATION DETENTE DIRECTE;HDC 569;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM OFFICE RDC EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0088;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM BUREAU IKON;;CLIMATISATION DETENTE DIRECTE;DIVERS 003;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM VESTIAIRE PUBLIC FEMME;;CLIMATISATION DETENTE DIRECTE;WCFC 0024;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
C1-01-3 (1P);;CLIMATISATION DETENTE DIRECTE;Columbia 004;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;1;;;Opérationnel;Validé
CLIM CH 57 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 107;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM BOUTIQUE;;CLIMATISATION DETENTE DIRECTE;ER 500;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM COULOIR FACE CH 611;;CLIMATISATION DETENTE DIRECTE;ER 551;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM RESTAURANT 2;;CLIMATISATION DETENTE DIRECTE;EDR 0031;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
CLIM COULOIR FACE A CH 622;;CLIMATISATION DETENTE DIRECTE;ER 555;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
SPLIT RÉGIE PARKING NIV 4.80;;CLIMATISATION DETENTE DIRECTE;SLII 430;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 4.80;;;Opérationnel;Validé
C2-1/2-1 (6P);;CLIMATISATION DETENTE DIRECTE;Columbia 088;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;1;;;Opérationnel;Validé
CLIM COULOIR 2 FACE OFFICE SERVICE;;CLIMATISATION DETENTE DIRECTE;ER 558;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 52 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 109;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
B-10-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 031;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;10;;;Opérationnel;Validé
CLIM SEJOUR ST ANNE;;CLIMATISATION DETENTE DIRECTE;SAINT ANNE 009;;;;HDCER;Bâtiment Le Panorama;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 226;;CLIMATISATION DETENTE DIRECTE;2F 235;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM BUREAU APRES PAYE 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 059;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;Galerie technique;;Opérationnel;Validé
CLIM 1 BUREAU PAIE;;CLIMATISATION DETENTE DIRECTE;2F 307;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM 7 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0038;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
C1-25-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 209;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;;;;Opérationnel;Validé
C2-29-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 128;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;29;;;Opérationnel;Validé
BUREAUX A N+1 (7P);;CLIMATISATION DETENTE DIRECTE;Europa 004;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;1;;;Opérationnel;Validé
C1-32-1 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 082;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;32;;;Opérationnel;Validé
CLIM SALON DE COIFFURE;;CLIMATISATION DETENTE DIRECTE;WCFC 0029;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
CLIM DROITE HALL;;CLIMATISATION DETENTE DIRECTE;ER 501;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;-1;;;Opérationnel;Validé
CLIM CH 5 ST ANNE;;CLIMATISATION DETENTE DIRECTE;SAINT ANNE 005;;;;HDCER;Bâtiment Le Panorama;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
C1-11-2 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 021;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;11;;;Opérationnel;Validé
CLIM 3 BUREAU RH P1;;CLIMATISATION DETENTE DIRECTE;2F 314;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM COULOIR FACE CH 634;;CLIMATISATION DETENTE DIRECTE;ER 511;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C1-21-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 052;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;21;;;Opérationnel;Validé
C2-15-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 103;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;15;;;Opérationnel;Validé
CLIM VESTIAIRES FEMMES PERSONNEL;;CLIMATISATION DETENTE DIRECTE;2F 701;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
C-11-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 054;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;11;;;Opérationnel;Validé
GROUPE CLIM GARDE MANGER;;CLIMATISATION DETENTE DIRECTE;ER 451;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
CLIM CH 204;;CLIMATISATION DETENTE DIRECTE;2F 114;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
VRV SPA;;CLIMATISATION DETENTE DIRECTE;DIVERS 069;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
VRV CTA AN CHAMBRES;;CLIMATISATION DETENTE DIRECTE;ER 465;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 2;;;Opérationnel;Validé
CLIM VRV 4 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 071;;;3eme gauche ;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;Terrasse du personnel;;;Opérationnel;Validé
C1-8-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 200;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;8;;;Opérationnel;Validé
CLIM CH 212;;CLIMATISATION DETENTE DIRECTE;2F 221;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
VRV FELIX;;CLIMATISATION DETENTE DIRECTE;FELIX 31;;;;HDCER;Bâtiment Pôle Innovation;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 313;;CLIMATISATION DETENTE DIRECTE;2F 041;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH N°6;;CLIMATISATION DETENTE DIRECTE;FELIX 26;;;;HDCER;Bâtiment Pôle Innovation;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
VRV III HDC;;CLIMATISATION DETENTE DIRECTE;HDC 003;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM cuisine ROOM SERVICE -1;;CLIMATISATION DETENTE DIRECTE;HDC 400;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
C1-08-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 017;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;8;;;Opérationnel;Validé
CLIM 2 CALANDRE BUANDERIE;;CLIMATISATION DETENTE DIRECTE;2F 401;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 33 lit HDC;;CLIMATISATION DETENTE DIRECTE;HDC 095;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
GROUPE CLIM N°2 PATISSERIE;;CLIMATISATION DETENTE DIRECTE;ER 453;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
C1-08-1 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 016;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;8;;;Opérationnel;Validé
CLIM REFECTOIRE HDC;;CLIMATISATION DETENTE DIRECTE;HDC 039;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM CH 220;;CLIMATISATION DETENTE DIRECTE;2F 229;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
B-4-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 020;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;4;;;Opérationnel;Validé
CLIM CH  282;;CLIMATISATION DETENTE DIRECTE;2F 026;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 27 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 084;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM PREPARATION FROIDE;;CLIMATISATION DETENTE DIRECTE;HDC 407;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
C-16 (7P);;CLIMATISATION DETENTE DIRECTE;Europa 059;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;16;;;Opérationnel;Validé
CLIM N° 3 GRILL;;CLIMATISATION DETENTE DIRECTE;ER 803;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 621;;CLIMATISATION DETENTE DIRECTE;EDR 0104;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
A-03-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 005;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;3;;;Opérationnel;Validé
VRV III GF 18 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 021;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM CH 304;;CLIMATISATION DETENTE DIRECTE;2F 033;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM VEST FEMMES 2FONT;;CLIMATISATION DETENTE DIRECTE;2F 010;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 604;;CLIMATISATION DETENTE DIRECTE;EDR 0085;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM room service hdc 3ème étage ;;CLIMATISATION DETENTE DIRECTE;HDC 098;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM 06 OLGA -1 chambre de droite ;;CLIMATISATION DETENTE DIRECTE;OLGA 010;;;;HDCER;Bâtiment Les Peupliers;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 3-1 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 049;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
C1-29-2 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 074;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;29;;;Opérationnel;Validé
CLIM BUANDERIE ST ANNE ANNEXE;;CLIMATISATION DETENTE DIRECTE;SAINT ANNE 025;;;;HDCER;Bâtiment Le Panorama;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
